M is representing peak till the message
Malloc-M represents malloc memory at the message
Available-M represents available memory in the system
STATS:: |   |   |   |   |   after  NldfgBuild : SymSimulator Analysis and computation M=1568.27mb, Malloc-M=474mb, Available-M=680mb, T=0s CPU=0.01s W=(2023-11-26 02:16:28)
STATS:: |   |   |   |   after  NldfgBuild : Create dfg M=1568.27mb, Malloc-M=474mb, Available-M=680mb, T=0s CPU=0.02s W=(2023-11-26 02:16:28)
STATS:: |   |   |   after  DfgBuild: NldfgBuild : M=1568.27mb, Malloc-M=473mb, Available-M=680mb, T=0s CPU=0.02s W=(2023-11-26 02:16:28)
STATS:: |   |   |   before StaticCheck: StaticCheckProcess : M=1568.27mb, Malloc-M=473mb, Available-M=680mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   |   before StaticCheck: NldfgFlatDesign : M=1568.27mb, Malloc-M=473mb, Available-M=680mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   |   after  StaticCheck: NldfgFlatDesign : M=1568.27mb, Malloc-M=473mb, Available-M=680mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   |   before StaticCheck: CombLoopCheck  : M=1568.27mb, Malloc-M=473mb, Available-M=680mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   |   after  StaticCheck: CombLoopCheck  : M=1568.27mb, Malloc-M=473mb, Available-M=680mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   |   before StaticCheck: MultiDriverCheck  : M=1568.27mb, Malloc-M=473mb, Available-M=680mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   |   after  StaticCheck: MultiDriverCheck  : M=1568.27mb, Malloc-M=473mb, Available-M=680mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   after  StaticCheck: StaticCheckProcess : M=1568.27mb, Malloc-M=473mb, Available-M=680mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   before DfgBuild: DfgRemodel : M=1568.27mb, Malloc-M=473mb, Available-M=680mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   after  DfgBuild: DfgRemodel : M=1568.27mb, Malloc-M=473mb, Available-M=680mb, T=0s CPU=0.01s W=(2023-11-26 02:16:28)
STATS:: |   |   after  Check: FormalModel : M=1568.27mb, Malloc-M=463mb, Available-M=680mb, T=0s CPU=0.03s W=(2023-11-26 02:16:28)
STATS:: |   after  Check: BuildFormal : M=1568.27mb, Malloc-M=463mb, Available-M=680mb, T=0s CPU=0.03s W=(2023-11-26 02:16:28)
STATS:: |   before Check: GCDB : M=1568.27mb, Malloc-M=463mb, Available-M=680mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   after  Check: GCDB : M=1568.27mb, Malloc-M=463mb, Available-M=680mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   before Check: Tanglewood : M=1568.27mb, Malloc-M=463mb, Available-M=680mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   after  Check: Tanglewood : M=1568.27mb, Malloc-M=463mb, Available-M=668mb, T=1s CPU=0.01s W=(2023-11-26 02:16:29)
STATS:: after  Check: check_fv : M=1568.27mb, Malloc-M=463mb, Available-M=668mb, T=1s CPU=0.04s W=(2023-11-26 02:16:29)
STATS:: before DfgBuild: saveProofDb_lastUpdate : M=1568.27mb, Malloc-M=464mb, Available-M=679mb, T=0s CPU=0s W=(2023-11-26 02:16:34)
STATS:: after  DfgBuild: saveProofDb_lastUpdate : M=1568.27mb, Malloc-M=464mb, Available-M=679mb, T=0s CPU=0s W=(2023-11-26 02:16:34)
